Source,Target,Type,Id,Weight
R_Vestovoi,RDS_official_smi,Directed,3757,5
der_kultur_kampf,RDS_official_smi,Directed,3773,2
voenacher,RDS_official_smi,Directed,3774,3
new_totalis,RDS_official_smi,Directed,3778,4
infantmilitario,RDS_official_smi,Directed,3781,4
obshina_ru,RDS_official_smi,Directed,3793,1
Protoinquisitor,RDS_official_smi,Directed,3831,11
rybar,RDS_official_smi,Directed,3840,9
sashakots,RDS_official_smi,Directed,3842,4
adirect,comradepelevin,Directed,3902,99
rusich_army,voenacher,Directed,3929,516
aleksandr_skif,voenkorKotenok,Directed,3934,281
aleksandr_skif,RDS_official_smi,Directed,3954,1
imperskiylegion1917,RDS_official_smi,Directed,3957,1
ghost_of_novorossia,beard_tim,Directed,3975,84
wargonzo,RDS_official_smi,Directed,3976,2
Sladkov_plus,RDS_official_smi,Directed,3977,4
uralpartisan,new_totalis,Directed,3991,39
RVvoenkor,RDS_official_smi,Directed,4009,2
interbrigady2022,RDS_official_smi,Directed,4011,2
rusjuche,comradepelevin,Directed,4022,23
russia_and_anvil,i_strelkov_2023,Directed,4056,3
ghost_of_novorossia,i_strelkov_2023,Directed,4060,4
strelkovii,i_strelkov_2023,Directed,4062,3
georgy_fedorov,i_strelkov_2023,Directed,4063,3
bunkerdayly,i_strelkov_2023,Directed,4067,1
drugoros_spb,i_strelkov_2023,Directed,4069,1
adirect,i_strelkov_2023,Directed,4070,2
mihailaksel,i_strelkov_2023,Directed,4071,1
new_totalis,i_strelkov_2023,Directed,4078,1
juchkovsky,i_strelkov_2023,Directed,4082,1
rusfleet,rusfleet,Directed,4101,5
sashakots,rusfleet,Directed,4123,6
rybar,rusfleet,Directed,4132,2
Andrafanaslive,rusfleet,Directed,4137,1
Rus_imperia,rusfleet,Directed,4145,1
RVvoenkor,rusfleet,Directed,4153,1
RtrDonetsk,rusfleet,Directed,4184,1
Sladkov_plus,rusfleet,Directed,4196,4
vladlentatarsky,rusfleet,Directed,4197,1
epoddubny,rusfleet,Directed,4199,1
zhivoff,rusfleet,Directed,4208,7
ghost_of_novorossia,rusfleet,Directed,4219,2
strelkovii,rusfleet,Directed,4222,1
drugoros_spb,rusfleet,Directed,4229,1
interbrigady2022,rusfleet,Directed,4231,1
sashakots,voenkorKotenok,Directed,4232,431
der_kultur_kampf,rusfleet,Directed,4234,1
dva_majors,rusfleet,Directed,4248,5
Alekhin_Telega,rusfleet,Directed,4262,1
adirect,new_totalis,Directed,4266,468
juchkovsky,voenkorKotenok,Directed,4269,43
bunkerdayly,interbrigady2022,Directed,4276,109
ghost_of_novorossia,strelkovii,Directed,4281,27
RDS_Official_channel,strelkovii,Directed,4283,65
voenkorKotenok,strelkovii,Directed,4286,3
Sladkov_plus,strelkovii,Directed,4287,1
notes_veterans,strelkovii,Directed,4288,4
soldat_prav,strelkovii,Directed,4296,42
pgubarev,strelkovii,Directed,4300,18
interbrigady2022,new_totalis,Directed,4305,142
rusfleet,strelkovii,Directed,4320,35
boris975,strelkovii,Directed,4323,9
blackcolonel2020,strelkovii,Directed,4329,35
tsarkrest,strelkovii,Directed,4330,1
KRPRus,strelkovii,Directed,4331,15
ordinaryczarizm,strelkovii,Directed,4334,6
RVvoenkor,strelkovii,Directed,4339,4
georgy_fedorov,strelkovii,Directed,4342,21
zhivoff,strelkovii,Directed,4345,1
R_Vestovoi,strelkovii,Directed,4355,1
drugoros_spb,strelkovii,Directed,4368,1
strelkovii,strelkovii,Directed,4374,4
adirect,strelkovii,Directed,4375,4
infantmilitario,strelkovii,Directed,4380,19
i_strelkov_2023,strelkovii,Directed,4383,257
epoddubny,strelkovii,Directed,4389,1
Andrafanaslive,rus_jansen,Directed,4396,16
nbstaroverov,strelkovii,Directed,4403,2
rus_jansen,strelkovii,Directed,4404,1
aleksandr_skif,strelkovii,Directed,4409,1
RDS_official_smi,strelkovii,Directed,4425,22
adirect,rus_jansen,Directed,4441,4
sashakots,rus_jansen,Directed,4443,2
ghost_of_novorossia,rus_jansen,Directed,4446,6
chernaya100kitchen,rus_jansen,Directed,4453,1
ordinaryczarizm,rus_jansen,Directed,4455,9
zhivoff,rus_jansen,Directed,4501,9
adirect,interbrigady2022,Directed,4508,184
vladlentatarsky,rus_jansen,Directed,4510,2
rus_jansen,rus_jansen,Directed,4516,5
rybar,rus_jansen,Directed,4523,1
voenkorKotenok,rus_jansen,Directed,4527,5
notes_veterans,rus_jansen,Directed,4532,14
kvmalofeev,rus_jansen,Directed,4543,1
russia_and_anvil,rus_jansen,Directed,4545,2
juchkovsky,rus_jansen,Directed,4558,1
tsarkrest,rus_jansen,Directed,4559,1
strelkovii,rus_jansen,Directed,4583,1
dva_majors,rus_jansen,Directed,4611,2
voenacher,rus_jansen,Directed,4615,1
bunkerdayly,rus_jansen,Directed,4622,1
fabric80,interbrigady2022,Directed,4629,43
RtrDonetsk,rus_jansen,Directed,4638,1
voenkorKotenok,beard_tim,Directed,4644,51
inter_manufactory_77,rus_jansen,Directed,4662,2
ImashevNB,interbrigady2022,Directed,4673,12
mihailaksel,interbrigady2022,Directed,4680,5
rusjuche,interbrigady2022,Directed,4684,21
dr_kuban,interbrigady2022,Directed,4691,32
drugoros_spb,interbrigady2022,Directed,4696,25
nbstaroverov,interbrigady2022,Directed,4698,42
new_totalis,interbrigady2022,Directed,4701,3
wargonzo,interbrigady2022,Directed,4705,7
molotov_perm,interbrigady2022,Directed,4709,14
chernaya100kitchen,interbrigady2022,Directed,4714,1
igorvezite,interbrigady2022,Directed,4716,50
notes_veterans,interbrigady2022,Directed,4717,3
ghost_of_novorossia,interbrigady2022,Directed,4726,17
beard_tim,interbrigady2022,Directed,4730,22
sashakots,interbrigady2022,Directed,4743,1
russia_and_anvil,interbrigady2022,Directed,4750,6
voenkorKotenok,interbrigady2022,Directed,4765,4
voenacher,new_totalis,Directed,4774,4
KRPRus,interbrigady2022,Directed,4775,2
comradepelevin,interbrigady2022,Directed,4778,9
nwindpro,interbrigady2022,Directed,4782,4
rusfleet,interbrigady2022,Directed,4787,1
soldat_prav,interbrigady2022,Directed,4797,10
i_strelkov_2023,interbrigady2022,Directed,4798,1
nazbol_sar,interbrigady2022,Directed,4804,4
ordinaryczarizm,interbrigady2022,Directed,4817,1
drugoros_vrn,interbrigady2022,Directed,4822,1
wargonzo,comradepelevin,Directed,4827,2
molotov_perm,new_totalis,Directed,4830,54
interbrigady2022,interbrigady2022,Directed,4837,1
Alekhin_Telega,interbrigady2022,Directed,4853,2
inter_manufactory_77,interbrigady2022,Directed,4858,43
dva_majors,interbrigady2022,Directed,4865,1
adirect,beard_tim,Directed,4880,173
rybar,comradepelevin,Directed,4939,2
comradepelevin,comradepelevin,Directed,4952,8
russdiary,comradepelevin,Directed,4967,12
ImashevNB,new_totalis,Directed,4984,45
bunkerdayly,new_totalis,Directed,4991,122
notes_veterans,comradepelevin,Directed,4995,1
russia_and_anvil,comradepelevin,Directed,5013,7
drugoros_spb,comradepelevin,Directed,5023,28
vladlentatarsky,comradepelevin,Directed,5025,1
beard_tim,new_totalis,Directed,5042,44
interbrigady2022,comradepelevin,Directed,5052,10
ImashevNB,comradepelevin,Directed,5060,1
bunkerdayly,comradepelevin,Directed,5064,7
new_totalis,comradepelevin,Directed,5085,9
dr_kuban,comradepelevin,Directed,5111,1
rossia_3,comradepelevin,Directed,5115,1
beard_tim,comradepelevin,Directed,5118,2
igorvezite,comradepelevin,Directed,5124,1
fabric80,comradepelevin,Directed,5136,4
drugoros_vrn,comradepelevin,Directed,5142,3
uralpartisan,comradepelevin,Directed,5144,1
molotov_perm,comradepelevin,Directed,5171,5
inter_manufactory_77,comradepelevin,Directed,5179,3
Agdchan,comradepelevin,Directed,5182,1
infantmilitario,beard_tim,Directed,5234,12
rusjuche,beard_tim,Directed,5241,35
russia_and_anvil,new_totalis,Directed,5245,31
drugoros_spb,beard_tim,Directed,5290,15
beard_tim,beard_tim,Directed,5298,4
Sladkov_plus,beard_tim,Directed,5316,2
vladlentatarsky,beard_tim,Directed,5336,13
ImashevNB,beard_tim,Directed,5347,7
rybar,beard_tim,Directed,5348,16
adirect,nbstaroverov,Directed,5355,189
strelkovii,beard_tim,Directed,5358,11
notes_veterans,beard_tim,Directed,5364,34
RVvoenkor,beard_tim,Directed,5367,26
RtrDonetsk,beard_tim,Directed,5387,9
epoddubny,beard_tim,Directed,5407,5
interbrigady2022,beard_tim,Directed,5422,82
aleksandr_skif,beard_tim,Directed,5431,3
bunkerdayly,beard_tim,Directed,5446,9
new_totalis,beard_tim,Directed,5484,5
rusich_army,beard_tim,Directed,5518,27
nbstaroverov,beard_tim,Directed,5526,3
dva_majors,beard_tim,Directed,5545,12
rusfleet,beard_tim,Directed,5569,5
rus_jansen,beard_tim,Directed,5582,3
interbrigady2022,igorvezite,Directed,5603,87
Agdchan,beard_tim,Directed,5624,2
brussinf,beard_tim,Directed,5637,7
comradepelevin,beard_tim,Directed,5655,5
mihailaksel,new_totalis,Directed,5682,18
fabric80,beard_tim,Directed,5738,8
ordinaryczarizm,beard_tim,Directed,5742,1
zhivoff,beard_tim,Directed,5767,5
juchkovsky,beard_tim,Directed,5777,1
boriskorchevnikov,beard_tim,Directed,5813,1
dva_majors,new_totalis,Directed,5816,6
zverochan,beard_tim,Directed,5843,7
der_kultur_kampf,beard_tim,Directed,5856,1
nwindpro,beard_tim,Directed,5879,5
i_strelkov_2023,beard_tim,Directed,5910,3
Alekhin_Telega,beard_tim,Directed,5945,4
Andrafanaslive,beard_tim,Directed,5957,3
molotov_perm,beard_tim,Directed,5964,2
obshina_ru,beard_tim,Directed,5981,3
dr_kuban,beard_tim,Directed,6012,1
inter_manufactory_77,beard_tim,Directed,6044,1
zogrussia1,beard_tim,Directed,6045,1
soldat_prav,beard_tim,Directed,6056,2
georgy_fedorov,beard_tim,Directed,6074,1
rossia_3,beard_tim,Directed,6077,1
nbstaroverov,igorvezite,Directed,6078,12
bunkerdayly,igorvezite,Directed,6084,1
sashakots,new_totalis,Directed,6096,4
ghost_of_novorossia,igorvezite,Directed,6097,8
comradepelevin,igorvezite,Directed,6098,1
drugoros_spb,new_totalis,Directed,6106,158
inter_manufactory_77,igorvezite,Directed,6107,1
notes_veterans,new_totalis,Directed,6109,5
comradepelevin,new_totalis,Directed,6121,113
infantmilitario,new_totalis,Directed,6123,21
wargonzo,new_totalis,Directed,6125,11
strelkovii,new_totalis,Directed,6128,14
zhivoff,new_totalis,Directed,6131,1
voenkorKotenok,new_totalis,Directed,6132,4
rusjuche,new_totalis,Directed,6152,116
rusich_army,new_totalis,Directed,6160,2
boriskorchevnikov,new_totalis,Directed,6164,1
